region,AGS,tooltip
"Flensburg, Stadt",01001000,"In Aach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 5.0 erhöht."
"Kiel, Landeshauptstadt",01002000,"In Aach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 5.0 erhöht."
"Lübeck, Hansestadt",01003000,"In Aachen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.4 auf 5.6 erhöht."
"Neumünster, Stadt",01004000,"In Aalen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 5.8 erhöht."
Albersdorf,01051001,"In Aarbergen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 4.0 erhöht."
Arkebek,01051002,"In Aasbüttel hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.6 auf 2.8 verringert."
Averlak,01051003,"In Abenberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 7.2 erhöht."
Bargenstedt,01051004,"In Abenberger Wald hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 7.6 erhöht."
Barkenholm,01051005,"In Abensberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 7.6 erhöht."
Barlt,01051006,"In Abentheuer hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.8 erhöht."
Bergewöhrden,01051008,"In Absberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.2 erhöht."
Brickeln,01051010,"In Abstatt hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.2 auf 9.4 erhöht."
"Brunsbüttel, Stadt",01051011,"In Abtsbessingen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 5.6 erhöht."
Buchholz,01051012,"In Abtsgmünd hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.4 auf 6.4 erhöht."
Büsum,01051013,"In Abtsteinach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 7.8 erhöht."
Büsumer Deichhausen,01051014,"In Abtswind hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.6 erhöht."
Bunsoh,01051015,"In Abtweiler hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.8 erhöht."
Burg (Dithmarschen),01051016,"In Achberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.0 auf 4.0 erhöht."
Busenwurth,01051017,"In Achern hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.0 auf 6.4 erhöht."
Dellstedt,01051019,"In Achim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 4.8 erhöht."
Delve,01051020,"In Achslach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 6.2 erhöht."
Diekhusen-Fahrstedt,01051021,"In Achstetten hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 5.4 erhöht."
Dingen,01051022,"In Acht hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.6 auf 3.6 erhöht."
Dörpling,01051023,"In Achtelsbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.8 erhöht."
Eddelak,01051024,"In Achterwehr hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 1.8 verringert."
Eggstedt,01051026,"In Achtrup hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 1.6 verringert."
Elpersbüttel,01051027,"In Adelberg hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 7.8 erhöht."
Epenwöhrden,01051028,"In Adelebsen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 4.4 erhöht."
Fedderingen,01051030,"In Adelheidsdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.0 auf 5.2 erhöht."
Frestedt,01051032,"In Adelmannsfelden hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.6 erhöht."
Friedrichsgabekoog,01051033,"In Adelschlag hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.8 auf 6.4 erhöht."
Friedrichskoog,01051034,"In Adelsdorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.8 erhöht."
Gaushorn,01051035,"In Adelsheim hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.0 auf 7.4 erhöht."
Glüsing,01051036,"In Adelshofen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 7.2 erhöht."
Großenrade,01051037,"In Adelshofen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.6 auf 6.4 erhöht."
Groven,01051038,"In Adelsried hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 6.8 erhöht."
Gudendorf,01051039,"In Adelzhausen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 2.2 auf 7.0 erhöht."
Hedwigenkoog,01051043,"In Adenau hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.4 auf 3.8 erhöht."
"Heide, Stadt",01051044,"In Adenbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 5.8 erhöht."
Hellschen-Heringsand-Unterschaar,01051045,"In Adenbüttel hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.6 auf 5.2 erhöht."
Helse,01051046,"In Adendorf hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 6.0 erhöht."
Hemme,01051047,"In Adlkofen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.2 auf 7.4 erhöht."
Hemmingstedt,01051048,"In Admannshagen-Bargeshagen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.4 auf 3.2 verringert."
Hennstedt,01051049,"In Adorf/Vogtl. hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 1.8 auf 4.2 erhöht."
Hillgroven,01051050,"In Aebtissinwisch hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 4.2 auf 3.0 verringert."
Hochdonn,01051051,"In Aerzen hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.2 auf 3.6 erhöht."
Hövede,01051052,"In Affalterbach hat sich die durchschnittliche Zahl der Tage, an denen es zu heiß zum Lernen war, von 3.8 auf 8.8 erhöht."
