region,tooltip
"Flensburg, Stadt","Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>6,96 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Kiel, Landeshauptstadt","Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>7,64 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Lübeck, Hansestadt","Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>7,47 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Neumünster, Stadt","Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>6,22 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Brunsbüttel, Stadt","Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,74 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Heide, Stadt","Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>6,68 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Averlak,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,12 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Brickeln,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,73 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Buchholz,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,0 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Burg (Dithmarschen),"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,67 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Dingen,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,89 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Eddelak,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,83 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Eggstedt,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,97 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Frestedt,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,12 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Großenrade,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,9 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
