region,ars,tooltip
"Flensburg, Stadt",010010000000,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>6,96 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Kiel, Landeshauptstadt",010020000000,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>7,64 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Lübeck, Hansestadt",010030000000,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>7,47 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Neumünster, Stadt",010040000000,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>6,22 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Brunsbüttel, Stadt",010510011011,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,74 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
"Heide, Stadt",010510044044,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>6,68 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Averlak,010515163003,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,12 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Brickeln,010515163010,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,73 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Buchholz,010515163012,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,0 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Burg (Dithmarschen),010515163016,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,67 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Dingen,010515163022,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,89 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Eddelak,010515163024,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,83 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Eggstedt,010515163026,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,97 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Frestedt,010515163032,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,12 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Großenrade,010515163037,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,9 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Hochdonn,010515163051,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>5,09 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Kuden,010515163064,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,95 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
Quickborn,010515163089,"Im Jahr 2022 betrug die durchschnittliche Nettokaltmiete hier <br><b>4,88 Euro</b>.<br><br> Deutschlandweit liegt der Durchschnitt bei <b>7,28 Euro</b>."
